"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","N_naive_se","credible_proportion"
"1",1,10,3.5,31.95,0.15,16,3,4.57227888888889,2.35916279080121,-0.542772111111111,1.22181212685215,-0.482099271989109,0.0057596776015541,0.15
"2",2,10,8.75,22.75,0.35,16,3,8.98093888888889,1.12174837923765,-0.101906111111111,0.51571709641555,-0.540255991485331,0.00243111370699515,0.75
"3",3,10,9.95,15.7,0.55,16,3,10.0940722222222,0.255305836077096,0.00940722222222172,0.381351846607364,0.49370595074139,0.0017977098450272,1
"4",4,25,9.1,55.75,0.15,16,3,9.72396888888889,3.24182557413569,-0.611041244444444,0.90271225736532,-0.721542002577979,0.00425542639095489,0
"5",5,25,21.5,45.9,0.35,16,3,21.7757922222222,2.87182739454897,-0.128968311111111,0.548748965562272,-0.808919934880538,0.00258682743145457,0.35
"6",6,25,24.45,33.85,0.55,16,3,24.5416944444444,0.662854271037666,-0.0183322222222222,0.287537297311024,-0.566213404854586,0.00135546381848452,0.85
"7",7,50,18.25,73.1,0.15,16,3,18.73768,3.62833156374924,-0.6252464,0.759680799167848,-0.790625309230876,0.00358116963085867,0
"8",8,50,45.5,64.45,0.35,16,3,45.7161466666667,4.43169933067731,-0.0856770666666668,0.459277002868247,-0.896365486780879,0.00216505255447447,0.25
"9",9,50,49.95,50.05,0.55,16,3,49.9984955555556,0.193740858398863,-0.0000300888888889048,0.203524257868584,0.0504973475939674,0.000959422552498901,1
"10",10,75,27.3,78.05,0.15,16,3,27.8267077777778,6.34859145966897,-0.62897722962963,0.779248519995499,-0.877256470991105,0.00367341275145599,0
"11",11,75,66.55,72.55,0.35,16,3,66.7395366666667,7.49461098623351,-0.110139511111111,0.434877756495392,-0.941974605847562,0.00205003340403389,0.05
"12",12,75,74.5,63.7,0.55,16,3,74.57029,0.749689521300831,-0.00572946666666654,0.253973598947083,-0.661228292871964,0.00119724302705223,0.8
"13",13,100,38.95,79.5,0.15,16,3,39.3660177777778,6.79339220257192,-0.606339822222222,0.677438436232637,-0.900279798952846,0.00319347541397672,0
"14",14,100,89.8,76.5,0.35,16,3,89.9698811111111,6.25252714882637,-0.100301188888889,0.411353060195406,-0.934210112102813,0.0019391369221734,0.05
"15",15,100,99.4,69.8,0.55,16,3,99.4456788888889,0.666941679006201,-0.0055432111111109,0.198176474175155,-0.702857865367696,0.000934212858405953,0.85
