"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","credible_width","psi0_mean","psi0_sd","p","sigma","delta"
"27",29,10,3.73076923076923,116.346153846154,0.15,64,5,4.95624786324786,1.89385381222305,-0.504375213675214,1.33735311981817,-0.293845643635846,5,7,0.00630434306576275,0.08,4.69230769230769,0.938941131525356,0.0509184009708744,0.25,4,1
"28",30,10,3.91666666666667,171.75,0.15,64,5,5.47227407407408,2.24231914219927,-0.452772592592592,1.48761627493032,-0.336572458873422,5,7,0.00701269037204468,0.06,5.16666666666667,0.957755870647299,0.0358393418614355,0.25,4,2
"29",31,10,3.17948717948718,213.923076923077,0.15,64,5,4.77738176638177,1.6257410552613,-0.522261823361823,1.54143268523171,-0.0518584246591696,5,7,0.00726638336313288,0.18,5.46153846153846,0.966207748209399,0.0282181155829497,0.25,4,3
"30",32,10,3.8,234.9,0.15,64,5,5.39895555555556,2.2367799591063,-0.460104444444444,1.51768519673107,-0.321486590331639,5,7,0.00715443662876652,0.02,5.3,0.975169186829697,0.0220314418888696,0.25,4,4
"31",33,10,4.66,35.18,0.15,64,5,5.24082888888889,1.53407096879153,-0.475917111111111,0.897338787313275,-0.415060446636211,5,7,0.0042300956102062,0.16,2.94,0.830053202765757,0.137963868613412,0.5,1,1
"32",34,10,4.62,65.9,0.15,64,5,5.21451022222222,1.57519815593956,-0.478548977777778,0.905707510610384,-0.425019952445185,5,7,0.00426954615016126,0.14,3,0.891605477518593,0.083125499179906,0.5,1,2
"33",35,10,4.28,90.78,0.15,64,5,5.03786977777778,1.58754100788642,-0.496213022222222,1.02693305264094,-0.353129747490335,5,7,0.00484100883564673,0.14,3.42,0.919188215929836,0.0640359324771941,0.5,1,3
"34",36,10,4.14,114.44,0.15,64,5,4.93536355555556,1.75126511281538,-0.506463644444444,1.05107903562928,-0.399817293259763,5,7,0.00495483409104322,0.14,3.56,0.925267432429747,0.0566672555734183,0.5,1,4
"35",37,10,4.68,66.26,0.15,64,5,5.491572,1.81951520153391,-0.4508428,1.03457425013444,-0.431401150557981,5,7,0.00487702978607368,0.14,3.48,0.899437856855818,0.0803837400983889,0.5,2,1
"36",38,10,5.02,113.36,0.15,64,5,5.98913466666667,1.76896563177121,-0.401086533333333,1.1470594022538,-0.351564902306618,5,7,0.00540728987838299,0.22,3.88,0.938838521171982,0.050018270305595,0.5,2,2
"37",39,10,4.56,150.82,0.15,64,5,5.48464311111111,1.77789647597169,-0.451535688888889,1.13059289572063,-0.364083954830543,5,7,0.00532966602216929,0.26,3.84,0.950392904219042,0.0391550213998668,0.5,2,3
"38",40,10,4.6,176.26,0.15,64,5,5.55017555555556,1.61839660037483,-0.444982444444444,1.15909564039794,-0.283800002960036,5,7,0.00546402924912765,0.2,3.9,0.954299290859462,0.0374020729855372,0.5,2,4
"39",41,10,4.7,89.28,0.15,64,5,5.49085066666667,1.56729285855275,-0.450914933333333,1.0306216856178,-0.34241920391988,5,7,0.00485839721825506,0.1,3.48,0.918849687217693,0.065546102944213,0.5,3,1
"40",42,10,4.72,151.1,0.15,64,5,5.59960755555555,1.67887493669223,-0.440039244444445,1.10555062731942,-0.341493161189476,5,7,0.00521161563681736,0.26,3.82,0.949973600523265,0.0397241423438062,0.5,3,2
"41",43,10,4.6,187.98,0.15,64,5,5.55576133333333,1.57658059919109,-0.444423866666667,1.17493343470937,-0.254758408601368,5,7,0.00553868932750534,0.3,3.96,0.960998161462353,0.0325164559482138,0.5,3,3
"42",44,10,4.3125,217.25,0.15,64,5,5.53629166666667,1.68208758419815,-0.446370833333333,1.32336483800376,-0.213260444678564,5,7,0.00623840167290865,0.06,4.5625,0.968935741648258,0.0260546042335118,0.5,3,4
"43",45,10,4.3,112.96,0.15,64,5,4.991792,1.36268995123061,-0.5008208,0.988001871547389,-0.274962091959987,5,7,0.0046574854879744,0.06,3.22,0.926301816137152,0.0566984280367296,0.5,4,1
"44",46,10,4.48,177.2,0.15,64,5,5.46737555555555,1.69838785616752,-0.453262444444445,1.16226568142634,-0.315665336863022,5,7,0.00547897296584645,0.14,3.92,0.958228016125173,0.0336599210906714,0.5,4,2
"45",47,10,4.26,212.64,0.15,64,5,5.32234666666667,1.52494183830041,-0.467765333333333,1.24074707862978,-0.18636432717157,5,7,0.00584893782024344,0.2,4.28,0.968820750364466,0.0266581290085337,0.5,4,3
"46",48,10,4.76,235.08,0.15,64,5,5.80500666666667,1.47444481857013,-0.419499333333333,1.23845442123767,-0.160053733012076,5,7,0.00583813012965079,0.36,4.24,0.97341066116164,0.0231784702561098,0.5,4,4
"47",49,10,4.46,34.68,0.15,64,5,4.94737066666667,1.67375723099203,-0.505262933333333,0.8239397444401,-0.507730434746649,5,7,0.0038840892038847,0.08,2.7,0.82423785513036,0.141248069274202,0.75,1,1
"48",50,10,4.7,66.36,0.15,64,5,5.28462755555556,1.57262831338324,-0.471537244444444,0.877166200123208,-0.442229169691004,5,7,0.00413500112223171,0.12,2.82050000000003,0.892566778607446,0.0827453343778499,0.75,1,2
"49",51,10,5.26,91.92,0.15,64,5,5.88918977777778,1.36064723801882,-0.411081022222222,0.924169902501037,-0.320786551665896,5,7,0.00435657870017996,0.18,3.08,0.920709052971289,0.0625300597864402,0.75,1,3
"50",52,10,5.04878048780488,115.512195121951,0.15,64,5,5.84402764227642,1.68407221485127,-0.415597235772358,1.032821315775,-0.386711979054761,5,7,0.00486876637425678,0.12,3.34146341463415,0.940716317419861,0.0492935588833949,0.75,1,4
