"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","psi0_mean","psi0_sd"
"34",33,10,6.8,28.76,0.25,36,3,7.23469066666666,1.90327421304303,-0.276530933333334,0.757459866165119,-0.602022734835427,5,7,0.00357070005228007,0.46,0.882104928591918,0.104911346235068
"35",34,10,7.58,27.82,0.25,36,4,7.95386888888889,1.42957404393581,-0.204613111111111,0.694700179309901,-0.514050928486854,5,7,0.00327484805121028,0.58,0.862776325727466,0.119658679242353
"36",35,10,8.94,28.88,0.25,36,5,9.31702888888889,0.967066674318516,-0.0682971111111111,0.68999085824019,-0.286511595773455,5,7,0.0032526480987891,0.96,0.870496552481424,0.114126678128182
"37",36,10,8.92,29.14,0.25,36,6,9.20308666666667,1.21475879404711,-0.0796913333333333,0.590349103042441,-0.514019486061406,5,7,0.00278293236019137,0.92,0.865200889186059,0.117342836944698
"38",37,10,8,24.2,0.3,16,3,8.380764,1.49684017583904,-0.1619236,0.697644522600625,-0.533921834901601,5,7,0.00328872781859036,0.76,0.913310349554894,0.0857601998139641
"39",38,10,8.44,24.3,0.3,16,4,8.82220088888889,1.44233702703311,-0.117779911111111,0.703950383332556,-0.511937660797225,5,7,0.00331845393115547,0.86,0.917220574172651,0.0827033739128059
"40",39,10,9.16,23.9,0.3,16,5,9.45308933333333,1.05145977279533,-0.0546910666666667,0.611767369459669,-0.418173300312504,5,7,0.00288389903635725,0.94,0.91131889979038,0.0881623588410576
"41",40,10,9.52,25.44,0.3,16,6,9.78351333333333,0.715360607889283,-0.021648666666667,0.561727428945994,-0.21476326379865,5,7,0.00264800849457465,0.96,0.90770767272419,0.0883227809664801
"42",41,10,8.34,27.16,0.3,25,3,8.72176711111111,1.60074215933265,-0.127823288888889,0.692299318963789,-0.567513534314353,5,7,0.00326353028700083,0.78,0.893720605871631,0.0979936092453326
"43",42,10,8.7,25.94,0.3,25,4,9.05292044444444,1.34419091610851,-0.0947079555555556,0.659694300847282,-0.509225740970544,5,7,0.00310982875759487,0.82,0.870357200576956,0.110704719265621
"44",43,10,9.2,27.02,0.3,25,5,9.524216,0.881673285654174,-0.0475784000000003,0.642115913800443,-0.271707644715567,5,7,0.00302696344637393,0.94,0.898670116992074,0.0946455991244224
"45",44,10,9.38,24.6,0.3,25,6,9.69218,0.789051337153126,-0.0307820000000004,0.622886286209634,-0.210588390285239,5,7,0.00293631411257958,0.96,0.892647471950804,0.101550597432685
"46",45,10,8.12,26.12,0.3,36,3,8.44627644444444,1.66307637698628,-0.155372355555556,0.644258791649093,-0.612610220093091,5,7,0.0030370650694275,0.72,0.867066842038732,0.116581039775289
"47",46,10,8.84,25.18,0.3,36,4,9.17261111111111,1.21678691059483,-0.0827388888888888,0.634558539566665,-0.478496576482353,5,7,0.00299133764258281,0.86,0.870409939720717,0.117251226945272
"48",47,10,9.08,26.18,0.3,36,5,9.38633688888889,0.897189575260076,-0.0613663111111111,0.630485587097972,-0.297266035536349,5,7,0.00297213756051572,0.96,0.867848242154049,0.119034585820654
"49",48,10,9.46,25.98,0.3,36,6,9.722176,0.760038101123414,-0.0277823999999998,0.573315420971646,-0.245675420581906,5,7,0.00270263481285247,0.98,0.86903713626434,0.117117665020924
"50",49,10,8.64,22.64,0.35,16,3,8.98945822222222,1.30291575770009,-0.101054177777778,0.665675762499923,-0.489087641648469,5,7,0.00313802563823481,0.86,0.898614693151644,0.0971418426980067
"51",50,10,9.32,22.42,0.35,16,4,9.63984488888889,0.881034900599504,-0.0360155111111112,0.637635623463752,-0.276265193319958,5,7,0.00300584315518221,0.98,0.906155615172679,0.093418394543444
"52",51,10,9.76,22.84,0.35,16,5,9.997932,0.475612100679878,-0.000206800000000002,0.537827755999698,0.130811758638781,5,7,0.00253534435585154,1,0.902019845047824,0.0949322233384718
"53",52,10,9.7,21.84,0.35,16,6,9.96171422222222,0.542922500345036,-0.00382857777777763,0.576515896146595,0.0618751217350715,5,7,0.00271772199751398,1,0.889506846019697,0.102199219211926
"54",53,10,8.78,23.04,0.35,25,3,9.13779688888889,1.18582528511286,-0.0862203111111111,0.66704672237953,-0.43748313452766,5,7,0.00314448840508551,0.88,0.886196267686555,0.107568271757912
"55",54,10,9.2,23.38,0.35,25,4,9.57133688888889,1.20445463288074,-0.0428663111111108,0.687606944440497,-0.429113454613131,5,7,0.00324141022136558,0.92,0.89669772030941,0.100314065777114
"56",55,10,9.52,23.56,0.35,25,5,9.763284,0.765177429535461,-0.0236716,0.544463574627401,-0.288447942122463,5,7,0.00256662590485402,0.98,0.897620747480247,0.0977000065891834
"57",56,10,9.92,24.06,0.35,25,6,10.1608395555555,0.302764357531203,0.0160839555555549,0.553766096508786,0.829033314965795,5,7,0.00261047841355045,1,0.878409456656374,0.11036761021516
"58",57,10,8.72,24.94,0.35,36,3,8.98960311111111,1.04670971364132,-0.101039688888889,0.577050524669377,-0.448700516342854,5,7,0.00272024226053981,0.9,0.875790914380135,0.114396221725296
"59",58,10,9.64,25.28,0.35,36,4,9.87904,0.597932271347407,-0.0120959999999998,0.542654424410951,-0.0924483417024651,5,7,0.00255809748894578,0.98,0.864831467958225,0.120164139749083
"60",59,10,9.6,24.58,0.35,36,5,9.85716533333333,0.612562923125296,-0.0142834666666667,0.575171434341617,-0.0610410577788604,5,7,0.002711384143785,1,0.872444284390482,0.11911881856526
"61",60,10,9.92,23.56,0.35,36,6,10.1179417777778,0.371685073957609,0.0117941777777779,0.48160818663494,0.29574260679047,5,7,0.00227032276429682,1,0.859847799248953,0.127429729322213
"62",61,10,9.34,20.88,0.4,16,3,9.68668355555556,0.901721271530489,-0.0313316444444444,0.669234505878685,-0.257825531006055,5,7,0.00315480171540564,0.9,0.897925113230118,0.101129397571744
"63",62,10,9.82,20.24,0.4,16,4,10.1109631111111,0.372744289342966,0.0110963111111114,0.613441051628782,0.645742320318551,5,7,0.00289178884976612,1,0.902641786962401,0.0959594876617777
"64",63,10,9.94,21.22,0.4,16,5,10.1537537777778,0.248892212515871,0.0153753777777776,0.519598857447524,1.08764610268548,5,7,0.00244941250398618,1,0.895386382736545,0.0997694614768031
"65",64,10,9.92,20.48,0.4,16,6,10.1079662222222,0.333969771866914,0.0107966222222225,0.502873945990617,0.505746891940301,5,7,0.00237057051528002,1,0.895068609060477,0.10089222916482
"66",65,10,9.38,20.9,0.4,25,3,9.68769066666666,1.02255242526263,-0.0312309333333336,0.613554850962385,-0.399977120190387,5,7,0.00289232530496936,0.94,0.868206396822852,0.120813497481406
"67",66,10,9.74,21.14,0.4,25,4,9.95168933333333,0.485539513519251,-0.00483106666666658,0.515811370361307,0.0623468451056481,5,7,0.00243155811863737,0.98,0.862880095213589,0.125309023730702
"68",67,10,9.94,21.02,0.4,25,5,10.1121297777778,0.250135619203173,0.0112129777777783,0.470176047433979,0.879684504477062,5,7,0.00221643114328036,1,0.875109178041611,0.114714728519805
"69",68,10,9.88,21.76,0.4,25,6,10.0930066666667,0.339236850267613,0.00930066666666627,0.525967078202977,0.550442051882213,5,7,0.00247943258452134,1,0.873028356477752,0.116240717099529
"70",69,10,9.32,22.14,0.4,36,3,9.56443733333334,0.941643999903146,-0.0435562666666662,0.534592741163645,-0.432277228741827,5,7,0.00252009434966612,0.92,0.850741475628238,0.134548443167605
"71",70,10,9.78,21.46,0.4,36,4,10.0356737777778,0.461470275976445,0.00356737777777763,0.553384051839785,0.199175939704581,5,7,0.00260867743770933,1,0.854131769065545,0.135089054018089
"72",71,10,9.92,22.22,0.4,36,5,10.0773813333333,0.27678778917982,0.00773813333333296,0.438754335695795,0.585165071753762,5,7,0.00206830777363664,1,0.83742397775452,0.141393260894761
"73",72,10,9.96,22.76,0.4,36,6,10.1385742222222,0.266596174710115,0.0138574222222217,0.483047487870559,0.811907047787924,5,7,0.00227710769538932,0.98,0.848778019354999,0.131283900893234
"74",73,10,9.74,17.82,0.45,16,3,9.98961466666667,0.477043617315613,-0.00103853333333309,0.551458704669577,0.155992208370184,5,7,0.00259960126410805,1,0.877319442332255,0.115566443464719
"75",74,10,9.8,17.96,0.45,16,4,10.0216728888889,0.5241242825931,0.00216728888888934,0.531251491212096,0.0135983179098935,5,7,0.00250434354634359,1,0.879194668781118,0.116562722716653
"76",75,10,9.94,18.14,0.45,16,5,10.1086355555556,0.259578413516841,0.0108635555555561,0.481351451142186,0.854358552472458,5,7,0.0022691125015775,1,0.88168246136231,0.11389911932755
"77",76,10,9.98,19.42,0.45,16,6,10.1645733333333,0.168579961939875,0.0164573333333338,0.514570264789587,2.05238095244744,5,7,0.0024257074908645,1,0.88141868687933,0.110451603090807
"78",77,10,9.52,19.02,0.45,25,3,9.73599288888888,0.741120296793828,-0.0264007111111118,0.510023062410672,-0.31182148887692,5,7,0.00240427177328077,0.96,0.859796528881304,0.129594740237307
"79",78,10,9.82,20.22,0.45,25,4,10.0388386666667,0.43966733716907,0.00388386666666615,0.52147076855912,0.186057558691455,5,7,0.00245823677759143,1,0.856773791762584,0.128055459873612
"80",79,10,9.96,20.14,0.45,25,5,10.1357635555556,0.244518233668417,0.0135763555555555,0.481926442953594,0.970922314149862,5,7,0.00227182303897065,1,0.865145402315115,0.122824733984494
"81",80,10,9.96,19.38,0.45,25,6,10.1574324444444,0.235627888659286,0.0157432444444443,0.514305586257095,1.18270251956793,5,7,0.00242445978429676,1,0.855568960635687,0.131070095440733
"82",81,10,9.64,19.78,0.45,36,3,9.852388,0.59548392345484,-0.0147612000000003,0.508141253056729,-0.146675110708904,5,7,0.00239540083891362,0.98,0.832264923644085,0.149573484406921
"83",82,10,9.9,19.38,0.45,36,4,10.0919066666667,0.317979376168379,0.00919066666666626,0.499281606065031,0.570169776673338,5,7,0.00235363606246863,1,0.821772234433825,0.15507672781261
"84",83,10,9.96,19.3,0.45,36,5,10.1235915555556,0.203330857617977,0.0123591555555563,0.456907704610602,1.24711443193266,5,7,0.00215388357537691,1,0.822370785083061,0.154282248100251
"85",84,10,10,20.02,0.45,36,6,10.154256,0.147700747027609,0.0154255999999998,0.44532653844183,2.01505948618248,5,7,0.002099289434497,1,0.835371918985459,0.147293499338749
"86",85,10,9.82,16.46,0.5,16,3,10.0340444444444,0.379289323219082,0.00340444444444492,0.519382216511222,0.369356279536561,5,7,0.00244839124881857,1,0.87656078270963,0.118858590097937
"87",86,10,9.94,16.1,0.5,16,4,10.1435182222222,0.279112541789017,0.0143518222222228,0.512616035767274,0.836592624901691,5,7,0.0024164951669067,1,0.869454270943557,0.124806906456305
"88",87,10,9.98,17.16,0.5,16,5,10.1101515555556,0.194817390716726,0.0110151555555554,0.428918031811532,1.20164139471101,5,7,0.00202193899244748,0.98,0.87915186906661,0.116332576401114
"89",88,10,10,16.76,0.5,16,6,10.1843657777778,0.162197970678784,0.0184365777777778,0.521231227493187,2.21354962279664,5,7,0.00245710757017747,1,0.871541427654499,0.119705891539349
"90",89,10,9.8,17.58,0.5,25,3,9.99042133333334,0.483812912560726,-0.00095786666666637,0.484020991880175,0.000430082195095264,5,7,0.00228169683730074,1,0.840714133334072,0.143580490991594
"91",90,10,9.92,16.36,0.5,25,4,10.0661946666667,0.321494838320878,0.006619466666666,0.432981378958222,0.346775522803485,5,7,0.00204109379459241,1,0.819116477231112,0.157124237689658
"92",91,10,10,17.18,0.5,25,5,10.1399524444444,0.0986727451101101,0.0139952444444448,0.449836141204267,3.55886922677878,5,7,0.00212054790578884,1,0.842464574397424,0.141807285078563
"93",92,10,10,17.02,0.5,25,6,10.1396537777778,0.110962357849229,0.013965377777778,0.45200292619913,3.07347982649479,5,7,0.00213076222821045,1,0.837821311712542,0.144874778694305
"94",93,10,9.92,18.16,0.5,36,3,10.1112382222222,0.25458350919738,0.0111238222222224,0.484473642736523,0.903004810735433,5,7,0.00228383065390096,1,0.815039894047155,0.160141351841529
"95",94,10,9.9,17.02,0.5,36,4,10.0291702222222,0.352613541418272,0.0029170222222223,0.402463051636728,0.141371514031911,5,7,0.00189722901992908,1,0.792212164195732,0.173571136895205
"96",95,10,10,17.4,0.5,36,5,10.1385324444445,0.110492485475877,0.013853244444445,0.437720224133128,2.96153840008145,5,7,0.0020634329249802,1,0.805164268781613,0.166744686454119
"97",96,10,10,17.66,0.5,36,6,10.1319093333333,0.108516750349312,0.0131909333333336,0.425304420466198,2.91925135149327,5,7,0.00200490426520176,1,0.79376916179456,0.17013237481779
"98",97,10,9.84,14.56,0.55,16,3,10.0556942222222,0.441429252159771,0.0055694222222227,0.525276363190752,0.189944618805266,5,7,0.00247617652272792,1,0.856714424149513,0.133796842857164
"99",98,10,10,14.98,0.55,16,4,10.1591551111111,0.114581881897434,0.0159155111111112,0.467943201014858,3.08391966745431,5,7,0.00220590540431831,1,0.842374160900196,0.140990820035737
"100",99,10,10,14.36,0.55,16,5,10.1338751111111,0.114420984134382,0.013387511111111,0.445647879944461,2.89480901004197,5,7,0.00210080425286758,1,0.850012803544946,0.137558299334579
"101",100,10,10,15.04,0.55,16,6,10.1434408888889,0.118076431969064,0.0143440888888888,0.478927357108422,3.05607917788286,5,7,0.00225768521271411,1,0.851909616375678,0.138043980614175
"102",101,10,9.94,16.1,0.55,25,3,10.1020511111111,0.250500596925871,0.0102051111111112,0.444067719788348,0.772721204012769,5,7,0.00209335530645592,1,0.810744847765504,0.16249387202825
"103",102,10,10,15.24,0.55,25,4,10.1352546666667,0.127217769279926,0.0135254666666666,0.412383918503899,2.24155910638948,5,7,0.00194399643484258,1,0.813769487134728,0.163140463204625
"104",103,10,9.98,15.04,0.55,25,5,10.1102497777778,0.12781919719581,0.0110249777777785,0.438774695243801,2.43277617814818,5,7,0.00206840374946635,1,0.805302563564989,0.167186920564728
"105",104,10,10,15.68,0.55,25,6,10.1100053333333,0.0893340181785737,0.0110005333333338,0.41874192184519,3.68737363865296,5,7,0.00197396835002548,1,0.836919765330136,0.148558695973558
"106",105,10,9.86,16.06,0.55,36,3,9.99900577777778,0.42521302558119,-0.0000994222222219636,0.407603436193259,-0.0414135699720439,5,7,0.00192146102511461,0.98,0.804944059713132,0.1706667268224
"107",106,10,9.96,15.86,0.55,36,4,10.0755408888889,0.14194241030426,0.00755408888888914,0.391122065889135,1.75549826898632,5,7,0.00184376710041266,1,0.774551722998713,0.184347840962948
"108",107,10,10,14.62,0.55,36,5,10.1093742222222,0.0732340686462276,0.0109374222222222,0.403990673915626,4.51643082766829,5,7,0.00190443030041241,1,0.777891546264114,0.189209882725564
"109",108,10,10,15.74,0.55,36,6,10.0777724444444,0.0573147139799128,0.00777724444444481,0.354765408769012,5.18977892646113,5,7,0.00167238017513991,1,0.773373655534771,0.185939570638
"110",109,25,9.12,56.1,0.15,16,3,9.83763377777778,2.97062757861342,-0.606494648888889,0.972456962190533,-0.672642585966821,5,7,0.00458420608251331,0,0.960597160470421,0.0433475949466201
"111",110,25,10.96,56.38,0.15,16,4,11.5327422222222,2.86715099749014,-0.538690311111111,0.859478638563147,-0.700232516768206,5,7,0.00405162115741988,0,0.958952468037009,0.0446865520665872
"112",111,25,13.62,56.46,0.15,16,5,14.1645502222222,2.54536039997202,-0.433417991111111,0.823732208228989,-0.676378948836462,5,7,0.00388311086880325,0,0.963301611814561,0.0414508297560101
"113",112,25,14.84,57.42,0.15,16,6,15.3280804444444,3.20723143658647,-0.386876782222222,0.757064228269277,-0.763950858165996,5,7,0.00356883499735311,0,0.960212972724179,0.0436846011880117
"114",113,25,9.26,65.84,0.15,25,3,9.98645377777778,3.01132381251777,-0.600541848888889,0.984594937615077,-0.673035847715143,5,7,0.00464142504739711,0,0.95982051478769,0.040095377977852
"115",114,25,12,67.04,0.15,25,4,12.5955928888889,2.87787156546999,-0.496176284444445,0.870184630769688,-0.697629094636967,5,7,0.00410208968867706,0,0.963255237544019,0.0372633907571974
"116",115,25,13.6,67.68,0.15,25,5,14.11886,3.03435306311081,-0.4352456,0.795451938738036,-0.737851224892551,5,7,0.00374979639993101,0,0.959693961080499,0.0401501444776075
"117",116,25,14.7,65.7,0.15,25,6,15.1844271111111,2.78924814624861,-0.392622915555556,0.763746448185341,-0.72618196440767,5,7,0.00360033528412663,0,0.962239367689633,0.0383125503502265
"118",117,25,8.96,74.26,0.15,36,3,9.59056177777778,2.93255640762819,-0.616377528888889,0.909833521089023,-0.689747307597441,5,7,0.00428899635008588,0,0.957827036747111,0.0393164182518657
"119",118,25,11.58,75.92,0.15,36,4,12.1508284444444,3.15959541187843,-0.513966862222222,0.845050966543595,-0.732544564608923,5,7,0.00398360845927481,0,0.95759730284663,0.0402553200499109
"120",119,25,13.4,74.6,0.15,36,5,13.8983368888889,3.06896598313847,-0.444066524444444,0.782023418650066,-0.745183419123358,5,7,0.00368649374916098,0,0.964189700999678,0.0357427323603713
"121",120,25,14.66,74.84,0.15,36,6,15.1301342222222,2.88760804158447,-0.394794631111111,0.747959506899341,-0.740976096434153,5,7,0.0035259149292098,0,0.956735936902773,0.0404323311701711
"122",121,25,13.78,53.78,0.2,16,3,14.2796986666667,3.4594061763391,-0.428812053333333,0.783375299093094,-0.773552089820775,5,7,0.00369286657468511,0,0.961455804720532,0.0430672981896597
"123",122,25,15.2,53.46,0.2,16,4,15.6539031111111,3.86372264593379,-0.373843875555556,0.741735298978634,-0.808025739176894,5,7,0.00349657373168815,0.02,0.961656694775038,0.0425229580160463
"124",123,25,17.52,53.52,0.2,16,5,17.9168884444444,3.44009564552501,-0.283324462222222,0.684581525002479,-0.800999275734381,5,7,0.00322714825736187,0.02,0.958791151749246,0.0449403929439056
"125",124,25,19.26,54.2,0.2,16,6,19.6163426666667,3.08874947135111,-0.215346293333333,0.645840927184602,-0.790905370223474,5,7,0.00304452332786693,0.08,0.961243213743138,0.0431906786441044
"126",125,25,13.74,63.1,0.2,25,3,14.2277675555556,2.96967809292439,-0.430889297777777,0.768832262078652,-0.741105857934406,5,7,0.00362431004073872,0,0.963804610026407,0.0369152281963153
"127",126,25,16.54,63.2,0.2,25,4,16.9841511111111,3.19064243436107,-0.320633955555556,0.722582446254588,-0.773530735229726,5,7,0.00340628631808655,0.02,0.961048424771898,0.0395351084996511
"128",127,25,17.88,63.58,0.2,25,5,18.2277733333333,3.10937042511737,-0.270889066666667,0.634172553948898,-0.796044707691925,5,7,0.00298951808893105,0.04,0.960871989724146,0.0393681542747483
"129",128,25,18.38,60.88,0.2,25,6,18.742032,3.6814336750179,-0.25031872,0.642668859624407,-0.825429732990835,5,7,0.00302957005798562,0.08,0.961931398129554,0.0384507069456169
"130",129,25,14.16,69.9,0.2,36,3,14.6499684444444,3.23343388351837,-0.414001262222222,0.775417633369786,-0.760187571076593,5,7,0.003655353778716,0,0.95868807179264,0.0402199769117492
"131",130,25,16.06,68.62,0.2,36,4,16.4805746666667,3.26121166635024,-0.340777013333333,0.69719801049568,-0.786215038511761,5,7,0.00328662294034177,0,0.956605712246104,0.0414427260640086
"132",131,25,19,70.82,0.2,36,5,19.3584168888889,3.08369429282168,-0.225663324444444,0.634249366976597,-0.79432158095145,5,7,0.00298988018901618,0.06,0.955653687206174,0.0424722178995849
"133",132,25,18.78,69.46,0.2,36,6,19.1233711111111,2.77894697641977,-0.235065155555556,0.62401210772527,-0.775450156832711,5,7,0.00294162128610033,0.06,0.958719817331001,0.0398559814935595
"134",133,25,16.94,49.36,0.25,16,3,17.3488533333333,3.16412275473861,-0.306045866666667,0.698063403298259,-0.779381693629669,5,7,0.00329070244113573,0.02,0.960068259630775,0.0443061323501494
"135",134,25,19.14,49.44,0.25,16,4,19.4772595555556,3.33561436517107,-0.220909617777778,0.621510485923145,-0.813674358639096,5,7,0.00292982852783202,0.12,0.960116226631505,0.0439888304045934
"136",135,25,21.52,50.38,0.25,16,5,21.7947417777778,2.3065967022271,-0.128210328888889,0.55106297402255,-0.761092620356875,5,7,0.00259773577194781,0.32,0.961570067176718,0.0427543932274294
"137",136,25,22.24,51,0.25,16,6,22.4637697777778,2.22678892355523,-0.101449208888889,0.486789466999886,-0.781393978634179,5,7,0.00229474755417203,0.4,0.959870808570431,0.0440657132892323
"138",137,25,17.3,59.92,0.25,25,3,17.661388,3.10702844601038,-0.29354448,0.639213090601433,-0.794268671269418,5,7,0.00301327940658323,0.04,0.958876430408928,0.0408857863721215
"139",138,25,19.5,58.92,0.25,25,4,19.8686395555556,3.24551192025477,-0.205254417777778,0.648225661401496,-0.800270133855922,5,7,0.00305576507277422,0.18,0.960064267889809,0.0402257878806913
"140",139,25,21.26,58.9,0.25,25,5,21.5618124444444,2.44584435952775,-0.137527502222222,0.583499078260995,-0.761432457470982,5,7,0.00275064103369633,0.3,0.958813755886332,0.0411709515519769
"141",140,25,22.78,58.52,0.25,25,6,23.0032124444444,2.09452417441325,-0.0798715022222224,0.484314022509535,-0.768771337936356,5,7,0.00228307819693484,0.56,0.961439535017047,0.0389261932300337
