"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion"
"32",31,10,6.14,102.12,0.15,49,5,6.64708888888889,1.59941183522399,-0.335291111111111,0.814309989287825,-0.490869098656016,14,10,0.00383869410275577,0.34
"33",32,10,6.38,97.34,0.15,49,6,6.88891866666667,1.5600464119215,-0.311108133333333,0.818557188509276,-0.47529946400693,14,10,0.00385871559189269,0.34
"34",33,10,4.74,57.08,0.15,49,3,5.35177511111111,2.59870329839892,-0.464822488888889,0.897611902945533,-0.654592387096073,8,12,0.00423138308964365,0.04
"35",34,10,5.16,58.76,0.15,49,4,5.64672711111111,2.14606304991745,-0.435327288888889,0.789843826778553,-0.631956839847303,8,12,0.00372335950662298,0.12
"36",35,10,6,58.52,0.15,49,5,6.42399333333333,1.49720664488592,-0.357600666666667,0.730016048910828,-0.512414634676931,8,12,0.00344132865706571,0.22
"37",36,10,6.62,57.4,0.15,49,6,7.06693244444444,1.41809866733738,-0.293306755555556,0.750013448549502,-0.471113353517407,8,12,0.00353559730300307,0.38
"38",37,10,5.16666666666667,71.25,0.15,49,3,5.74131111111111,1.68917083962283,-0.425868888888889,0.89085870643156,-0.472605916740502,10,12,0.00419954821597888,0.04
"39",38,10,5.32,72.66,0.15,49,4,5.890468,2.03911781278076,-0.4109532,0.864051935204201,-0.576261886494,10,12,0.004073179884535,0.2
"40",39,10,6.24,69.98,0.15,49,5,6.81837644444445,2.11885137234027,-0.318162355555555,0.856873799933997,-0.595595136534952,10,12,0.00403934183036276,0.34
"41",40,10,6.44,71.48,0.15,49,6,6.87853511111111,1.72130597529209,-0.312146488888889,0.7535614798019,-0.562215265258679,10,12,0.00355232288272595,0.38
"42",41,10,4.26,87.64,0.15,49,3,4.84186266666667,1.62774166781979,-0.515813733333333,0.885177989619894,-0.456192584413283,12,12,0.00417276906011535,0.14
"43",42,10,5.22,84.1,0.15,49,4,5.76433511111111,1.94960333933019,-0.423566488888889,0.847547275256008,-0.565271941138964,12,12,0.00399537617139803,0.24
"44",43,10,5.86,86.9,0.15,49,5,6.34217377777778,1.56739964193074,-0.365782622222222,0.792791243828436,-0.494199677848678,12,12,0.0037372537638427,0.26
"45",44,10,6.4,87.76,0.15,49,6,6.92780133333333,2.07150674990785,-0.307219866666667,0.810052121661213,-0.608955113616091,12,12,0.00381862232227463,0.38
"46",45,10,4.86,100.42,0.15,49,3,5.43855688888889,2.04132571483634,-0.456144311111111,0.880988367464032,-0.568423421573042,14,12,0.00415301899186856,0.12
"47",46,10,5.2,99.48,0.15,49,4,5.78555155555556,2.2230722499289,-0.421444844444444,0.87381017614247,-0.606935772703556,14,12,0.00411918067346768,0.16
"48",47,10,6.12,100.12,0.15,49,5,6.63163244444444,1.78756900693709,-0.336836755555556,0.817253925430881,-0.542812656597127,14,12,0.00385257195082334,0.4
"49",48,10,6.56,100.2,0.15,49,6,7.07413733333333,1.70334747424695,-0.292586266666667,0.812827961550251,-0.52280554975455,14,12,0.00383170775700147,0.46
"50",49,10,4.96,56.56,0.15,49,3,5.43351111111111,2.03797396469533,-0.456648888888889,0.78931561454355,-0.612695928300757,8,14,0.00372086949026781,0.1
"51",50,10,5.54,56.78,0.15,49,4,6.04379733333333,2.66476039332148,-0.395620266666667,0.795546621478737,-0.701456602450049,8,14,0.00375024273865108,0.12
