"","sim","N_actual","N_mean","N_bias","n_captured","tau","nsites","ntraps","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"136",7,50,21.2328666666667,-0.575342666666666,21,0.15,16,3,75,21,23,0,0.515731544701875,0.00243118181687006,6855118
"137",7,50,20.2213111111111,-0.595573777777778,20,0.15,16,3,75,20,22,0,0.513100075058603,0.00241877695000843,2905663
"138",7,50,16.6578666666667,-0.666842666666666,16,0.15,16,3,67,16,19,0,0.89878093990543,0.00423689398272232,7989806
"139",7,50,16.7845333333333,-0.664309333333334,16,0.15,16,3,78,16,19,0,0.99362213346416,0.00468397965673035,7771934
"140",7,50,19.3658,-0.612684,19,0.15,16,3,75,19,21,0,0.663760445039028,0.00312899674513665,3281487
"141",8,50,31.4495111111111,-0.371009777777778,31,0.35,16,3,65,31,33,0,0.724274561476437,0.00341426302573935,8501372
"142",8,50,47.1332444444444,-0.057335111111112,47,0.35,16,3,66,47,48,0,0.378453271384981,0.00178404583039035,6713395
"143",8,50,48.2277111111111,-0.035445777777778,48,0.35,16,3,65,48,50,1,0.495443453633212,0.00233554283839018,5780907
"144",8,50,47.0710222222222,-0.0585795555555561,47,0.35,16,3,63,47,48,0,0.274917707182976,0.0012959745001156,7563775
"145",8,50,40.1866,-0.196268,40,0.35,16,3,66,40,41,0,0.444730070063359,0.0020964776555958,61739
"146",8,50,46.47,-0.0706,46,0.35,16,3,66,46,48,0,0.724308476683019,0.00341442290355641,4929090
"147",8,50,47.2374888888889,-0.055250222222222,47,0.35,16,3,58,47,49,0,0.509579694255946,0.00240218171575565,3293876
"148",8,50,42.3013555555556,-0.153972888888888,42,0.35,16,3,67,42,44,0,0.577131804553651,0.00272062541758877,8204056
"149",8,50,48.2352,-0.035296,48,0.35,16,3,66,48,50,1,0.500330857887888,0.00235858228299606,8004025
"150",8,50,48.0614222222222,-0.038771555555556,48,0.35,16,3,67,48,49,0,0.25290722672523,0.00119221610018996,5323463
"151",8,50,46.3500222222222,-0.072999555555556,46,0.35,16,3,62,46,48,0,0.611449531819589,0.00288240073535314,4860672
"152",8,50,49.0796222222222,-0.018407555555556,49,0.35,16,3,69,49,50,1,0.288821244043547,0.00136151640142618,9594363
"153",8,50,50.0770888888889,0.00154177777777804,50,0.35,16,3,65,50,51,1,0.284083686730415,0.00133918334207701,378315
"154",8,50,47.1852888888889,-0.056294222222222,47,0.35,16,3,63,47,48,0,0.445901336183143,0.00210199905703495,8964727
"155",8,50,40.2408444444444,-0.195183111111112,40,0.35,16,3,65,40,42,0,0.520256316694979,0.00245251179660104,3756976
"156",8,50,47.1168888888889,-0.057662222222222,47,0.35,16,3,60,47,48,0,0.352113883996254,0.00165988076749123,5144972
"157",8,50,48.0604,-0.038792,48,0.35,16,3,65,48,49,0,0.249350042909067,0.00117544737486772,3865979
"158",8,50,42.4399333333333,-0.151201333333334,42,0.35,16,3,62,42,44,0,0.703611870117543,0.00331685816455642,4807006
"159",8,50,50.049,0.00097999999999999,50,0.35,16,3,65,50,51,1,0.229637769517569,0.00108252282694951,4194504
"160",8,50,47.3502888888889,-0.052994222222222,47,0.35,16,3,64,47,49,0,0.618237251506133,0.00291439835281413,9685217
"161",9,50,50.0184888888889,0.000369777777778069,50,0.55,16,3,52,50,50,1,0.138454678837721,0.000652681615287719,5505715
"162",9,50,50.0712222222222,0.00142444444444394,50,0.55,16,3,51,50,51,1,0.275794159965421,0.00130010613815464,620922
"163",9,50,50.0112444444444,0.000224888888888017,50,0.55,16,3,47,50,50,1,0.10690824107961,0.000503970281547457,4250468
"164",9,50,50.0453777777778,0.00090755555555603,50,0.55,16,3,45,50,51,1,0.218448381773375,0.00102977554727454,5913820
"165",9,50,50.1319777777778,0.00263955555555597,50,0.55,16,3,45,50,51,1,0.37757490914136,0.001779905191065,9020923
"166",9,50,49.1882222222222,-0.016235555555556,49,0.55,16,3,51,49,50,1,0.448601754128229,0.00211472894930834,422089
"167",9,50,50.0662888888889,0.00132577777777797,50,0.55,16,3,55,50,51,1,0.266472064485633,0.00125616135863047,7213820
"168",9,50,50.0321555555556,0.000643111111111949,50,0.55,16,3,52,50,51,1,0.180893070527196,0.000852738112262913,4730887
"169",9,50,50.0979555555556,0.00195911111111201,50,0.55,16,3,47,50,51,1,0.32401361068569,0.0015274148087506,1798664
"170",9,50,50.0350444444444,0.000700888888888045,50,0.55,16,3,56,50,51,1,0.19446637688716,0.000916723292064598,103883
"171",9,50,50.0085333333333,0.000170666666665937,50,0.55,16,3,50,50,50,1,0.0941313574760127,0.000443739474623891,4207267
"172",9,50,50.0060888888889,0.000121777777777936,50,0.55,16,3,48,50,50,1,0.0803240791906473,0.00037865134058848,4870851
"173",9,50,50.0443777777778,0.000887555555555934,50,0.55,16,3,51,50,51,1,0.212520469222123,0.0010018310995194,1167721
"174",9,50,50.0063111111111,0.000126222222222054,50,0.55,16,3,51,50,50,1,0.0803069242409016,0.000378570471379839,5186648
"175",9,50,50.0418666666667,0.000837333333333987,50,0.55,16,3,52,50,51,1,0.208228856963618,0.000981600245317987,2181448
"176",9,50,50.0135777777778,0.000271555555555949,50,0.55,16,3,52,50,50,1,0.119137471623231,0.000561619427188041,5181466
"177",9,50,50.0836666666667,0.00167333333333403,50,0.55,16,3,50,50,51,1,0.29911292808138,0.00141003186524605,4183388
"178",9,50,50.0127333333333,0.000254666666666026,50,0.55,16,3,49,50,50,1,0.114281996285473,0.000538730496939957,9647998
"179",9,50,50.0162444444444,0.000324888888888069,50,0.55,16,3,50,50,50,1,0.12798799353738,0.000603341187604943,1914723
"180",9,50,50.0385333333333,0.00077066666666596,50,0.55,16,3,47,50,51,1,0.202825833239513,0.000956130147223145,7918908
"181",10,75,36.4467111111111,-0.514043851851852,36,0.15,16,3,76,36,38,0,0.704725476613125,0.00332210775592042,1141051
"182",10,75,35.6059777777778,-0.525253629629629,35,0.15,16,3,78,35,38,0,0.835215069601042,0.00393724159642727,5259672
"183",10,75,38.5445777777778,-0.486072296296296,38,0.15,16,3,80,38,41,0,0.784703662928687,0.00369912854185865,4447366
"184",10,75,19.7293777777778,-0.736941629629629,19,0.15,16,3,79,19,22,0,0.94731503598979,0.00446568590578906,5703919
"185",10,75,22.4563111111111,-0.700582518518519,22,0.15,16,3,77,22,24,0,0.734221382380043,0.00346115278915393,7154810
"186",10,75,28.7172888888889,-0.617102814814815,28,0.15,16,3,77,28,31,0,0.919712456458805,0.00433556609802505,659290
"187",10,75,36.4722222222222,-0.513703703703704,36,0.15,16,3,79,36,38,0,0.732056671830938,0.00345094824576341,2596154
"188",10,75,17.6465333333333,-0.764712888888889,17,0.15,16,3,76,17,20,0,0.893166115515286,0.00421042544671271,9801827
"189",10,75,30.4773777777778,-0.593634962962963,30,0.15,16,3,79,30,32,0,0.741762477547015,0.00349670185268819,3579519
"190",10,75,31.6045333333333,-0.578606222222223,31,0.15,16,3,79,31,34,0,0.82702894181348,0.00389865181995897,5764257
"191",10,75,23.4853555555556,-0.686861925925925,23,0.15,16,3,79,23,25,0,0.760042790844408,0.00358287607598686,7273032
"192",10,75,25.3192444444444,-0.662410074074075,25,0.15,16,3,80,25,27,0,0.605274972753959,0.00285329358477885,962505
"193",10,75,29.5184666666667,-0.606420444444444,29,0.15,16,3,76,29,31,0,0.767872151216748,0.0036197840347311,4016730
"194",10,75,26.5737333333333,-0.645683555555556,26,0.15,16,3,77,26,29,0,0.816061255271282,0.00384694964977287,7704483
"195",10,75,18.4747333333333,-0.753670222222223,18,0.15,16,3,76,18,20,0,0.766229714728419,0.00361204151487399,4050724
"196",10,75,22.4639555555556,-0.700480592592592,22,0.15,16,3,80,22,24,0,0.740421563633448,0.00349038072387972,2682956
"197",10,75,35.3679555555556,-0.528427259259259,35,0.15,16,3,78,35,37,0,0.645252892066459,0.00304175130373616,2707222
"198",10,75,23.8006,-0.682658666666667,23,0.15,16,3,79,23,26,0,0.995643567482454,0.00469350878807739,5918951
"199",10,75,27.4995777777778,-0.633338962962963,27,0.15,16,3,79,27,29,0,0.760242212075991,0.00358381615668796,3501462
"200",10,75,26.3296222222222,-0.648938370370371,26,0.15,16,3,77,26,28,0,0.608021989158599,0.00286624314429719,8466852
"201",11,75,71.2862444444444,-0.0495167407407412,71,0.35,16,3,78,71,73,0,0.556740419685193,0.00262449950746696,8538008
"202",11,75,72.2474666666667,-0.036700444444444,72,0.35,16,3,77,72,74,0,0.514727028928156,0.00242644648410069,7401501
"203",11,75,54.2818,-0.276242666666667,54,0.35,16,3,75,54,56,0,0.549460262572486,0.00259018051771697,6244888
"204",11,75,71.1407555555556,-0.051456592592592,71,0.35,16,3,74,71,72,0,0.389889053295507,0.00183795462330437,8195800
"205",11,75,71.0645555555556,-0.052472592592592,71,0.35,16,3,71,71,72,0,0.258264843042962,0.00121747214571839,7060683
"206",11,75,69.2722,-0.0763706666666667,69,0.35,16,3,74,69,71,0,0.539570062093719,0.00254355766554477,7597526
"207",11,75,71.3612444444444,-0.0485167407407414,71,0.35,16,3,71,71,73,0,0.616657487815803,0.0029069512753601,1627639
"208",11,75,47.3114666666667,-0.369180444444444,47,0.35,16,3,72,47,49,0,0.577057982758049,0.00272027741830697,8532779
"209",11,75,66.1282888888889,-0.118289481481481,66,0.35,16,3,70,66,67,0,0.365833054768866,0.00172455355872837,1703409
"210",11,75,68.1261333333333,-0.091651555555556,68,0.35,16,3,71,68,69,0,0.363752037506162,0.00171474354927354,2182418
"211",11,75,69.1022888888889,-0.0786361481481479,69,0.35,16,3,69,69,70,0,0.330261624143474,0.00155686822665022,1619852
"212",11,75,63.3214888888889,-0.155713481481481,63,0.35,16,3,73,63,65,0,0.591164006559697,0.0027867738522118,5846484
"213",11,75,50.2011333333333,-0.330651555555556,50,0.35,16,3,68,50,51,0,0.463291529026352,0.00218397721227212,6619018
"214",11,75,69.0921333333333,-0.0787715555555561,69,0.35,16,3,71,69,70,0,0.310057748592723,0.00146162624392899,9275156
"215",11,75,68.2301111111111,-0.0902651851851853,68,0.35,16,3,73,68,70,0,0.494962275377259,0.00233327454233855,9250570
"216",11,75,66.1385777777778,-0.118152296296296,66,0.35,16,3,74,66,67,0,0.384475885661519,0.00181243670635976,8570484
"217",11,75,70.1466222222222,-0.0647117037037039,70,0.35,16,3,72,70,71,0,0.391258359112162,0.00184440959282754,6031690
