"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","N_naive_se","credible_proportion"
"14",13,10,5.58,31.22,0.2,25,3,6.420096,1.83790309730428,-0.3579904,1.09978053510577,-0.401611251039915,0.00518441516126842,0.5
"15",14,10,6.04,31.24,0.2,25,4,6.89178622222222,1.68915932202247,-0.310821377777778,1.11498271055383,-0.339918564212859,0.00525607890358913,0.6
"16",15,10,7.12,29.78,0.2,25,5,7.88404222222222,1.59443822114345,-0.211595777777778,1.04922186052462,-0.341948877911263,0.00494607928364081,0.68
"17",16,10,5.58,33.96,0.2,36,3,6.45876222222222,1.84693089756846,-0.354123777777778,1.12038657798823,-0.393379265318885,0.00528155297897246,0.5
"18",17,10,6.32,33.76,0.2,36,4,7.13737911111111,1.6040569471353,-0.286262088888889,1.09368697938562,-0.31817446921766,0.00515568986412671,0.62
"19",18,10,7.02,32.18,0.2,36,5,7.83269733333333,1.95560444895531,-0.216730266666667,1.09370276352073,-0.440734160681118,0.00515576427125317,0.72
"20",19,10,7.12,26.06,0.25,16,3,8.03239466666667,1.58912772780529,-0.196760533333333,1.15336882225878,-0.274212637487817,0.00543703276952218,0.8
"21",20,10,7.86,26.68,0.25,16,4,8.63911022222222,1.34134331723202,-0.136088977777778,1.04764768107818,-0.21895634948993,0.00493865853056495,0.88
"22",21,10,8.2,28.18,0.25,16,5,8.96724311111111,1.49211249924523,-0.103275688888889,1.06294799449584,-0.287622082762849,0.00501078489971098,0.94
"23",22,10,7.06,27.38,0.25,25,3,7.87808888888889,1.60698189849519,-0.212191111111111,1.08907420018997,-0.322285956543877,0.0051339450144643,0.76
"24",23,10,8.18,28.14,0.25,25,4,8.87596488888889,1.49319865234701,-0.112403511111111,0.989418923871101,-0.337382924692616,0.00466416553669035,0.84
"25",24,10,8.16,29.76,0.25,25,5,8.88951466666667,1.61144159820844,-0.111048533333334,1.03044186297547,-0.360546566427793,0.00485754952618971,0.92
"26",25,10,6.88,30.08,0.25,36,3,7.65346133333333,1.9407376863339,-0.234653866666667,1.05714759062217,-0.455285689526053,0.00498344153362639,0.66
"27",26,10,7.7,29.16,0.25,36,4,8.42059022222222,1.31795982055212,-0.157940977777778,1.0186232938399,-0.227121132256385,0.0048018362569918,0.9
"28",27,10,8.54,28.68,0.25,36,5,9.23958533333333,1.26461508547019,-0.076041466666667,1.00940361282083,-0.201809606402466,0.00475837426386541,0.96
"29",28,10,8.46,25.02,0.3,16,3,9.230864,1.31244632833871,-0.0769136,1.04914737541374,-0.200616929804862,0.00494572815746081,0.96
"30",29,10,8.9,25.58,0.3,16,4,9.58142266666667,1.03478531168534,-0.0418577333333333,0.994123133275039,-0.0392952798528539,0.00468634139248799,0.98
"31",30,10,9.36,23.88,0.3,16,5,10.0116177777778,0.763843144610966,0.00116177777777822,0.972620818565223,0.273325322649311,0.0045849785088712,1
"32",31,10,8.28,26.06,0.3,25,3,8.91619511111111,1.28524326312481,-0.108380488888889,0.960268912857852,-0.252850459979731,0.0045267510669628,0.92
"33",32,10,9.08,25.68,0.3,25,4,9.76268355555555,1.07019610230366,-0.0237316444444446,0.979734159382626,-0.0845283801037099,0.00461851111906371,0.98
"34",33,10,9.12,26.08,0.3,25,5,9.80017866666666,1.0218017379091,-0.0199821333333337,0.98976825751751,-0.0313499959954434,0.00466581231129216,0.98
"35",34,10,8.06,26.5,0.3,36,3,8.86076266666667,1.63138950429316,-0.113923733333333,1.06841765281907,-0.345087331990661,0.00503656911631851,0.82
"36",35,10,8.96,26.74,0.3,36,4,9.57420933333333,1.20027069732622,-0.0425790666666666,0.924355454053735,-0.229877513370214,0.00435745339858777,0.96
"37",36,10,9.42,26.62,0.3,36,5,10.0993911111111,0.746876534740266,0.00993911111111128,0.992021657905141,0.328227105501617,0.00467643494259098,1
"38",37,10,8.56,22.74,0.35,16,3,9.24301377777778,1.34699630511155,-0.0756986222222225,0.98337753024181,-0.269947863620627,0.00463568613400309,0.96
"39",38,10,9.4,22.12,0.35,16,4,10.0589102222222,0.774729465296298,0.00589102222222249,0.971481875200316,0.253962729852761,0.00457960947835978,0.98
"40",39,10,9.74,22.58,0.35,16,5,10.2772773333333,0.594696788726271,0.0277277333333336,0.891160590274395,0.498512531374339,0.00420097131006154,1
"41",40,10,8.82,24.24,0.35,25,3,9.53486933333334,1.20466299600798,-0.0465130666666663,1.015532966752,-0.156998289050732,0.00478726831539221,0.94
"42",41,10,9.12,23.96,0.35,25,4,9.79187555555556,0.933745327424873,-0.0208124444444441,0.978013239219698,0.0474089781170945,0.00461039862361646,1
"43",42,10,9.74,24.62,0.35,25,5,10.3881173333333,0.461916750448034,0.0388117333333338,0.997966896893786,1.16049081555456,0.00470446106795528,1
"44",43,10,8.68,25.12,0.35,36,3,9.34534933333333,1.3731929404279,-0.0654650666666666,0.962810483294159,-0.298852728594614,0.00453873214489865,0.96
"45",44,10,9.36,24.72,0.35,36,4,10.0065173333333,1.02097762591232,0.00065173333333366,0.956621589727677,-0.0630337380088389,0.00450955742083931,1
"46",45,10,9.6,24.72,0.35,36,5,10.2016515555556,1.06483306006804,0.0201651555555555,0.954815892695419,-0.103318699896102,0.00450104528339745,0.98
"47",46,10,9.22,21.1,0.4,16,3,9.86762355555556,0.751291817820151,-0.0132376444444443,0.983530067870387,0.309118566902628,0.00463640520328011,1
"48",47,10,9.72,20.86,0.4,16,4,10.3845013333333,0.546591641168443,0.0384501333333331,0.983917113688993,0.800095426973019,0.00463822975476655,1
"49",48,10,9.84,21.1,0.4,16,5,10.4285915555556,0.554949089893567,0.0428591555555556,0.957735205269209,0.72580732667368,0.00451480705484632,1
"50",49,10,9.34,21.58,0.4,25,3,9.93159111111111,0.906790366289287,-0.00684088888888888,0.904061640417464,-0.003009213566074,0.00426178744366549,1
"51",50,10,9.8,21.98,0.4,25,4,10.4092768888889,0.57057381311699,0.0409276888888874,0.931406268328472,0.632402761774659,0.00439069125583146,1
"52",51,10,9.88,21.8,0.4,25,5,10.4153968888889,0.458598632718378,0.0415396888888887,0.907082489667491,0.977944165011332,0.00427602786359639,1
"53",52,10,9.26,21.6,0.4,36,3,9.94514577777777,1.00425110954312,-0.00548542222222255,0.976385490845681,-0.0277476603537095,0.00460272534419424,0.98
"54",53,10,9.76,21.98,0.4,36,4,10.3406626666667,0.514214378409204,0.034066266666667,0.933910910193806,0.816189802165767,0.00440249825081427,1
"55",54,10,9.9,22.1,0.4,36,5,10.5726106666667,0.478229099395882,0.0572610666666661,1.04030820386066,1.17533438507783,0.00490405990315915,1
"56",55,10,9.52,19.28,0.45,16,3,10.126252,0.840951557779533,0.0126252000000003,0.930000396807054,0.105890569086581,0.00438406391392299,1
"57",56,10,9.88,18.58,0.45,16,4,10.3926484444444,0.415754745734131,0.0392648444444443,0.904950793154577,1.17664573270627,0.00426597894986497,1
"58",57,10,9.94,18.38,0.45,16,5,10.4768906666667,0.424791335489295,0.0476890666666664,0.935320463853002,1.2018350792764,0.0044091429504867,1
"59",58,10,9.62,20.56,0.45,25,3,10.3251977777778,0.651550813033968,0.0325197777777775,1.01471357274852,0.55738209890872,0.00478340565501674,1
"60",59,10,9.82,19.62,0.45,25,4,10.3978902222222,0.540562281960607,0.0397890222222224,0.922400570046237,0.706372421510267,0.00434823798700021,1
"61",60,10,9.98,19.18,0.45,25,5,10.4467955555555,0.334183769076586,0.0446795555555548,0.896617443816015,1.68300715589372,0.00422669516434968,1
"62",61,10,9.46,20.06,0.45,36,3,10.1259151111111,0.971056726733529,0.0125915111111107,0.987122975063669,0.0165451182076503,0.00465334233021707,0.98
"63",62,10,9.92,19.4,0.45,36,4,10.4084928888889,0.434305114963722,0.0408492888888886,0.875991902484368,1.01699651305636,0.00412946543007468,1
"64",63,10,9.94,19.16,0.45,36,5,10.4320395555555,0.347231045570688,0.0432039555555549,0.899316151675438,1.58996470260134,0.00423941699520194,1
"65",64,10,9.86,15.56,0.5,16,3,10.5072431111111,0.469490135058022,0.0507243111111113,0.992505550228232,1.11400725194274,0.00467871603287779,1
"66",65,10,9.92,16.82,0.5,16,4,10.4453844444444,0.42154219206098,0.044538444444445,0.945793790293662,1.2436515445098,0.00445851468480517,1
"67",66,10,9.98,16.96,0.5,16,5,10.4800982222222,0.384223381741206,0.0480098222222229,0.94824522322122,1.46795293645068,0.00447007085044984,1
"68",67,10,9.84,17.44,0.5,25,3,10.3647533333333,0.563306527760589,0.0364753333333336,0.872046439252484,0.548085094485381,0.00411086633803342,1
"69",68,10,9.92,18.42,0.5,25,4,10.4320124444444,0.458891635119082,0.0432012444444437,0.893107516716961,0.946227493306127,0.00421014920932827,1
"70",69,10,10,16.2,0.5,25,5,10.4873657777778,0.299150118591754,0.048736577777778,0.933037268332875,2.1189600483033,0.00439837986358632,1
"71",70,10,9.88,17,0.5,36,3,10.3251631111111,0.434121254124515,0.0325163111111113,0.763531191984747,0.758797075081127,0.00359932055666575,1
"72",71,10,9.96,17.02,0.5,36,4,10.4730871111111,0.333822851799838,0.0473087111111108,0.943614873235011,1.82669346375606,0.00444824317128641,1
"73",72,10,9.94,17.46,0.5,36,5,10.3606928888889,0.356848015909938,0.0360692888888888,0.883257233423601,1.4751636384228,0.00416371452857265,1
"74",73,10,9.92,14.7,0.55,16,3,10.3640737777778,0.354069411339304,0.0364073777777781,0.844073269157799,1.38392033348774,0.00397899954959852,1
"75",74,10,9.98,14.58,0.55,16,4,10.4871635555556,0.327007865027071,0.0487163555555559,0.940088706235397,1.87481986452397,0.00443162066063958,1
"76",75,10,10,16.24,0.55,16,5,10.4522284444445,0.272698488461655,0.045222844444445,0.954340504765966,2.49961787522031,0.00449880428320671,1
"77",76,10,9.92,16.16,0.55,25,3,10.4295062222222,0.392250185260037,0.0429506222222228,0.886788108810929,1.26077167617663,0.00418035923477201,1
"78",77,10,10,15.16,0.55,25,4,10.4754066666667,0.3570656770009,0.0475406666666668,0.887282552464307,1.48492815080087,0.0041826900645068,1
"79",78,10,10,15.46,0.55,25,5,10.3586,0.235727838379032,0.0358599999999998,0.858707258448846,2.64279104391613,0.00404798483668858,1
"80",79,10,9.9,14.88,0.55,36,3,10.4235768888889,0.426689618618302,0.0423576888888886,0.894015555633875,1.09523624813947,0.00421442974583315,1
"81",80,10,9.94,15.92,0.55,36,4,10.4440426666667,0.37916173985559,0.0444042666666664,0.932222480091341,1.45864068575694,0.00439453891498086,1
"82",81,10,10,16.28,0.55,36,5,10.4456342222222,0.253130780472022,0.044563422222222,0.969634600116653,2.83056773383522,0.00457090134010395,1
"83",82,25,9.14,56.88,0.15,16,3,10.1496831111111,2.65514998973563,-0.594012675555556,1.20127940658687,-0.547566272628358,0.00566288542998217,0
"84",83,25,11.58,55.78,0.15,16,4,12.5717924444444,3.50641403867894,-0.497128302222222,1.17815593531047,-0.663999766623583,0.0055538803410214,0
"85",84,25,12.96,56.72,0.15,16,5,13.9699146666667,3.00150132434042,-0.441203413333334,1.18278214274918,-0.605936491462619,0.00557568849202869,0
"86",85,25,8.72,67.1,0.15,25,3,9.75638311111111,2.6154619388073,-0.609744675555556,1.21131169694392,-0.536865102500288,0.00571017810026419,0
"87",86,25,11.34,66.6,0.15,25,4,12.2819991111111,2.83914646393022,-0.508720035555555,1.14047691050747,-0.59830289666398,0.00537625971471012,0
"88",87,25,13.52,67.6,0.15,25,5,14.5525977777778,2.65604404840066,-0.417896088888889,1.19326241787913,-0.550736962138241,0.00562509298278258,0
"89",88,25,9.74,75.18,0.15,36,3,10.7759653333333,2.45817687893614,-0.568961386666667,1.20629914067004,-0.5092708132573,0.00568654868338195,0
"90",89,25,12.48,75.4,0.15,36,4,13.5160057777778,2.64769775367698,-0.459359768888889,1.19321425727204,-0.549338947160803,0.00562486595150353,0
"91",90,25,13.28,75.92,0.15,36,5,14.2138577777778,3.58104522487994,-0.431445688888889,1.1261815869886,-0.685515955184185,0.00530887091338045,0.04
"92",91,25,13.4,52.6,0.2,16,3,14.4454973333333,2.96320303407847,-0.422180106666666,1.2010239815501,-0.594687246288,0.00566168134481161,0
"93",92,25,16.18,53.56,0.2,16,4,17.1130631111111,2.97804761501326,-0.315477475555555,1.1203077202354,-0.623811347210306,0.00528118123996062,0.04
"94",93,25,17.84,53.6,0.2,16,5,18.6844711111111,3.04644519082329,-0.252621155555556,1.04570556638919,-0.656745649145721,0.00492950331412209,0.12
"95",94,25,13.6,63.66,0.2,25,3,14.5529511111111,3.18068143005966,-0.417881955555556,1.13472350038629,-0.643245158203408,0.00534913787929922,0
"96",95,25,16.42,63.92,0.2,25,4,17.2969866666667,3.1263275756089,-0.308120533333334,1.07564240767294,-0.655940594304663,0.00507062693731574,0.08
"97",96,25,18.32,64.08,0.2,25,5,19.2278248888889,3.39957105864095,-0.230887004444445,1.0901001537005,-0.679341853752487,0.00513878140569415,0.16
"98",97,25,13.1,68.58,0.2,36,3,14.0875284444444,3.57946396280627,-0.436498862222222,1.16502232647439,-0.674526035579633,0.00549196791522515,0.02
"99",98,25,16.1,69.08,0.2,36,4,17.0148426666667,3.28366352167737,-0.319406293333333,1.10013761263445,-0.66496639945847,0.00518609844088133,0.06
"100",99,25,17.92,70.8,0.2,36,5,18.7743257777778,2.63892524622042,-0.249026968888889,1.0598072751106,-0.598394355191188,0.00499597940654364,0.12
"101",100,25,16.84,51.1,0.25,16,3,17.7501213333333,3.20260256551247,-0.289995146666667,1.10679812566349,-0.65440665739104,0.00521749640040809,0.12
"102",101,25,20.04,51.3,0.25,16,4,20.8647333333333,2.71949281174205,-0.165410666666667,1.03474215911687,-0.619509139848016,0.00487782131660765,0.36
"103",102,25,21.3,50.28,0.25,16,5,22.0341137777778,2.05120061630926,-0.118635448888889,0.964960161912557,-0.529563244940509,0.00454886582708825,0.56
"104",103,25,17.64,61.32,0.25,25,3,18.536188,3.11648272844704,-0.25855248,1.09443050057766,-0.648825103188357,0.005159194856639,0.14
"105",104,25,19.64,57.16,0.25,25,4,20.4171653333333,2.88054471141139,-0.183313386666666,1.00406103655269,-0.651433622059376,0.00473318911781066,0.36
"106",105,25,21.22,58.6,0.25,25,5,21.9888284444444,2.85514795432552,-0.120446862222222,0.984018781458418,-0.655352788296789,0.0046387090212278,0.6
"107",106,25,17.68,64.64,0.25,36,3,18.5572462222222,2.84970025772503,-0.257710151111111,1.074520239899,-0.622935697540058,0.00506533698769854,0.14
"108",107,25,19.18,65.02,0.25,36,4,19.9822542222222,3.22735743296651,-0.200709831111111,1.02089196644556,-0.683675580517532,0.00481253088221683,0.34
"109",108,25,20.9,64.82,0.25,36,5,21.503388,2.59044616391021,-0.13986448,0.871103497280013,-0.663724531543591,0.00410642126694676,0.44
"110",109,25,20.48,47.72,0.3,16,3,21.2422946666667,2.48973624326032,-0.150308213333333,1.00520692142291,-0.5962596744358,0.00473859087089195,0.44
"111",110,25,21.82,48.14,0.3,16,4,22.517992,2.32761501274238,-0.0992803200000001,0.934853502467252,-0.598364206559307,0.00440694167340393,0.64
"112",111,25,23.12,47.7,0.3,16,5,23.7758226666667,1.91471017553469,-0.0489670933333333,0.917021377184681,-0.521065177956451,0.00432288022866877,0.8
"113",112,25,19.88,54.04,0.3,25,3,20.7027791111111,3.22200120009321,-0.171888835555556,1.03056931771067,-0.680146203024115,0.00485815035357339,0.42
"114",113,25,22.24,55.46,0.3,25,4,22.9528822222222,2.57050295280328,-0.0818847111111111,0.954178135205472,-0.62879710596524,0.00449803886575816,0.72
"115",114,25,22.94,55.12,0.3,25,5,23.5510093333333,1.81669942046566,-0.0579596266666669,0.88573952291668,-0.512445750277365,0.00417541615346214,0.82
"116",115,25,20.5,60.08,0.3,36,3,21.3084288888889,2.55168509731568,-0.147662844444445,1.01868959806875,-0.600777698180552,0.00480214881812407,0.46
"117",116,25,21.26,58.88,0.3,36,4,21.9663657777778,2.22142996306896,-0.121345368888889,0.956349417292587,-0.569489277991296,0.00450827438767595,0.46
"118",117,25,23.04,59.78,0.3,36,5,23.7359111111111,1.8176991358225,-0.0505635555555558,0.943101401806995,-0.481156488870615,0.00444582264376177,0.86
"119",118,25,21.38,43.76,0.35,16,3,22.1174306666667,2.88629053540565,-0.115302773333333,0.946174667646305,-0.67218315133569,0.0044603101578642,0.58
"120",119,25,23.16,44.32,0.35,16,4,23.7740222222222,1.74653769665162,-0.0490391111111114,0.866673453751341,-0.503776268091499,0.00408553784147959,0.88
"121",120,25,23.9,44.28,0.35,16,5,24.3322635555556,1.35750359575101,-0.0267094577777775,0.712079768855955,-0.47544907351644,0.0033567762220253,0.92
"122",121,25,22.16,49.66,0.35,25,3,22.8602235555556,2.40688380669799,-0.0855910577777776,0.926407296003632,-0.615100947779206,0.00436712587429908,0.7
"123",122,25,23.44,50.94,0.35,25,4,24.0140733333333,1.66586348512288,-0.0394370666666668,0.839645478896267,-0.49596981601747,0.00395812674613451,0.8
"124",123,25,23.82,50.14,0.35,25,5,24.3955777777778,1.44363023790875,-0.0241768888888887,0.834931181908095,-0.421644712071438,0.00393590333700875,0.92
"125",124,25,21.74,55.26,0.35,36,3,22.4389337777778,2.87569271557945,-0.102442648888889,0.927046992876378,-0.677626546169563,0.00437014143427656,0.68
"126",125,25,23.02,53.56,0.35,36,4,23.6052711111111,2.07407136080105,-0.0557891555555555,0.85215087273544,-0.589141006022897,0.0040170777380351,0.84
"127",126,25,23.92,55.12,0.35,36,5,24.328608,1.21481257608595,-0.0268556799999998,0.700216032672947,-0.423601593812108,0.00330085003332388,0.9
"128",127,25,23.16,42,0.4,16,3,23.6978186666667,1.85934093800362,-0.0520872533333337,0.814951546759042,-0.561698701888391,0.00384171843367856,0.84
"129",128,25,24.22,41.14,0.4,16,4,24.6600866666667,1.10101781806274,-0.013596533333333,0.695811210478749,-0.368029109916638,0.00328008550236762,0.92
"130",129,25,24.56,39.96,0.4,16,5,24.9245493333333,0.826250970495166,-0.00301802666666649,0.636397851608654,-0.229776575963032,0.0030000082427002,0.96
"131",130,25,22.96,46.6,0.4,25,3,23.5650111111111,1.78401662889371,-0.0573995555555553,0.852048739891774,-0.522398655880165,0.00401659627919284,0.86
"132",131,25,24.08,47.46,0.4,25,4,24.5690031111111,1.16560433198641,-0.0172398755555557,0.751671057689692,-0.355123314951391,0.00354341134742697,0.94
"133",132,25,24.54,47.54,0.4,25,5,24.9588528888889,0.68032365175637,-0.00164588444444432,0.692378229020722,0.0177188860525878,0.00326390227257656,1
"134",133,25,23.52,50.68,0.4,36,3,24.1346133333333,1.27185973695461,-0.0346154666666667,0.874926134598521,-0.312089132805261,0.00412444135207966,0.9
"135",134,25,23.96,49.04,0.4,36,4,24.4492568888889,1.25441427041762,-0.0220297244444447,0.754635973865588,-0.398415665652181,0.00355738809631781,0.96
"136",135,25,24.44,50.14,0.4,36,5,24.7850862222222,0.90145895981939,-0.00859655111111088,0.646552798501209,-0.282770678067532,0.00304787912143563,0.98
"137",136,25,24.24,37.8,0.45,16,3,24.7316857777778,0.842335943333355,-0.0107325688888892,0.749913237606601,-0.109721906631471,0.00353512490408791,0.98
"138",137,25,24.46,37.94,0.45,16,4,24.7837551111111,0.842808583272076,-0.00864979555555552,0.595384414890581,-0.293571011606109,0.00280666904787943,0.96
"139",138,25,24.94,38.18,0.45,16,5,25.1895528888889,0.310418484222084,0.00758211555555544,0.522331392153209,0.682668457911531,0.00246229379612096,1
"140",139,25,24.16,42.6,0.45,25,3,24.6515057777778,0.979597325096411,-0.013939768888889,0.772120605912795,-0.211797964192274,0.00363981144223202,0.98
"141",140,25,24.46,42.26,0.45,25,4,24.7704693333333,0.633338047826501,-0.00918122666666665,0.595386856807226,-0.059922487129135,0.00280668055918489,1
"142",141,25,24.86,41.4,0.45,25,5,25.1205026666667,0.656110914089694,0.0048201066666668,0.538514061261971,-0.179233191069348,0.00253857962988432,0.98
"143",142,25,24.14,45.66,0.45,36,3,24.54334,1.28012695996751,-0.0182664000000001,0.683214189874462,-0.466291851324028,0.00322070257775404,0.86
"144",143,25,24.56,46.12,0.45,36,4,24.8805128888889,1.15789806503275,-0.00477948444444447,0.605141078431167,-0.477379661728642,0.00285266240088812,0.92
"145",144,25,24.84,45.64,0.45,36,5,25.1074364444444,0.398018347420118,0.00429745777777792,0.541491863749144,0.360469604627513,0.00255261712542908,1
"146",145,25,24.52,35.3,0.5,16,3,24.8705448888889,0.896955577316581,-0.00517820444444456,0.619688696627039,-0.309119969485045,0.00292124053073088,0.96
"147",146,25,24.92,34.96,0.5,16,4,25.0936008888889,0.319585217731499,0.00374403555555543,0.433375602166106,0.356056469827739,0.00204295218061638,1
"148",147,25,24.94,35.16,0.5,16,5,25.0699333333333,0.27567511395759,0.00279733333333337,0.36456072100722,0.32242883941749,0.00171855571985642,1
"149",148,25,24.76,38.1,0.5,25,3,25.1253644444444,0.622339211305175,0.00501457777777769,0.633806686751385,0.018426406753578,0.00298779337442188,0.96
"150",149,25,24.9,38.52,0.5,25,4,25.163032,0.34769546583853,0.00652128000000016,0.515715113577741,0.483237960362821,0.00243110435980808,0.98
"151",150,25,24.9,38.44,0.5,25,5,25.0850284444444,0.482526262512627,0.00340113777777775,0.444535201382667,-0.0787336650488845,0.00209555903582541,1
"152",151,25,24.52,38.86,0.5,36,3,24.8479564444444,0.897838082794894,-0.00608174222222256,0.589621331076539,-0.343287679175851,0.00277950161024306,0.94
"153",152,25,24.8,40.62,0.5,36,4,25.053584,0.397947386914571,0.00214335999999983,0.505072694809271,0.269194650894133,0.00238093551661199,1
"154",153,25,24.94,40,0.5,36,5,25.1113044444444,0.305825215406497,0.004452177777778,0.435397515524011,0.42368089218964,0.00205248357159202,1
"155",154,25,24.7,31.9,0.55,16,3,24.9868226666667,0.678768585493504,-0.000527093333333514,0.541996351582288,-0.201500536168412,0.00255499530388136,1
"156",155,25,24.98,32,0.55,16,4,25.1064075555556,0.176124830305202,0.00425630222222217,0.369136084057283,1.09587758533318,0.00174012418811702,1
"157",156,25,24.96,32.78,0.55,16,5,25.0510982222222,0.232883784978523,0.00204392888888888,0.296731331330123,0.274160549037317,0.00139880491049361,1
"158",157,25,24.8,35.7,0.55,25,3,25.0814817777778,0.612229878695619,0.00325927111111136,0.523600306502666,-0.144765185883744,0.00246827551572926,1
"159",158,25,24.98,34.16,0.55,25,4,25.1538511111111,0.193768473130023,0.00615404444444415,0.436502863716819,1.25270322186993,0.0020576942329434,1
"160",159,25,25,34.68,0.55,25,5,25.0747937777778,0.0997486403061828,0.00299175111111113,0.278908407729327,1.79611237680239,0.00131478684290233,1
"161",160,25,24.92,36.56,0.55,36,3,25.1825031111111,0.391397932547717,0.00730012444444446,0.531955654009579,0.359117179150469,0.00250766300160466,0.98
"162",161,25,24.92,36.26,0.55,36,4,25.0747244444444,0.345197257267183,0.00298897777777776,0.391155091486413,0.133134992389753,0.00184392278457125,1
"163",162,25,25,37.56,0.55,36,5,25.1048808888889,0.115932231510691,0.00419523555555559,0.344700362453636,1.97329187890124,0.00162493309178951,1
"164",163,50,17.36,73.32,0.15,16,3,18.471304,4.06515695608673,-0.63057392,1.21087220596192,-0.702133959637428,0.00570810631990659,0
"165",164,50,24.08,72.88,0.15,16,4,25.2211528888889,5.37192662468181,-0.495576942222222,1.2001167511436,-0.776594723831567,0.00565740461966137,0
"166",165,50,27.38,72.12,0.15,16,5,28.5522942222222,4.67410855662816,-0.428954115555556,1.20836769869635,-0.741476329859132,0.00569629995943313,0
"167",166,50,19.3,97.5,0.15,25,3,20.4992466666667,4.83570935577083,-0.590015066666667,1.25171227854152,-0.741152292983086,0.00590062826834115,0
"168",167,50,21.94,97.82,0.15,25,4,23.1139222222222,5.2174365707878,-0.537721555555556,1.24049656087785,-0.762240221985001,0.00584775686823543,0
"169",168,50,26.76,97.78,0.15,25,5,27.8987173333333,5.23451448658472,-0.442025653333333,1.18714808840053,-0.773207602836325,0.00559626975720442,0
"170",169,50,19.18,117.72,0.15,36,3,20.3554573333333,4.48603005370596,-0.592890853333333,1.24214590937972,-0.723107983114475,0.00585553197163689,0
"171",170,50,23.1,117.88,0.15,36,4,24.3655671111111,4.48263309090194,-0.512688657777778,1.28178386551472,-0.714055591987606,0.00604238708880644,0
"172",171,50,27.56,116.98,0.15,36,5,28.6599595555556,4.18017649068633,-0.426800808888889,1.17647801344564,-0.718557813033277,0.00554597054149529,0
"173",172,50,27.58,70.78,0.2,16,3,28.6965422222222,6.56567795814553,-0.426069155555556,1.18627966642117,-0.819321070271282,0.00559217597673415,0
"174",173,50,32.56,70.9,0.2,16,4,33.7085355555555,4.71256576870059,-0.325829288888889,1.19051406154087,-0.747374547120828,0.00561213710675657,0
"175",174,50,35.54,70.92,0.2,16,5,36.5308262222222,4.23210239489435,-0.269383475555556,1.09388832852261,-0.741526025021917,0.00515663903306103,0
"176",175,50,27.04,92.88,0.2,25,3,28.2925346666667,5.81682583763386,-0.434149306666667,1.25593062657397,-0.78408660296337,0.00592051375166881,0
"177",176,50,31.6,93.34,0.2,25,4,32.7013208888889,5.1327801668602,-0.345973582222222,1.15608528334529,-0.774764309835523,0.00544983828988952,0
"178",177,50,36.18,93.64,0.2,25,5,37.2007075555556,4.92216770788925,-0.255985848888889,1.1189373509252,-0.772673867017623,0.00527472125708078,0.04
"179",178,50,28.26,111.3,0.2,36,3,29.439928,4.89294513999694,-0.41120144,1.21531821454099,-0.75161826266833,0.00572906500534308,0
"180",179,50,31.9,110.18,0.2,36,4,33.0808742222222,4.5014959047914,-0.338382515555556,1.21247135342496,-0.730651459188398,0.00571564477334149,0
"181",180,50,35.32,111.3,0.2,36,5,36.4080751111111,5.35613832675526,-0.271838497777778,1.15309837534756,-0.78471460126645,0.00543575787055633,0.02
