"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","N_naive_se","credible_proportion"
"1",1,10,4.32,30.32,0.15,16,3,5.34201022222222,1.7441885566888,-0.465798977777778,1.22741774614367,-0.296281504980276,0.00578610274431264,0.2
"2",2,10,4.52,31.6,0.15,16,4,5.47205644444444,1.34686681662388,-0.452794355555556,1.17583202284719,-0.126987161362709,0.00554292531261028,0.2
"3",3,10,5.55555555555556,32.6111111111111,0.15,16,5,6.42811358024691,1.76315850405104,-0.357188641975309,1.1254972303678,-0.361658507852893,0.00530564482533166,0.14
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5",4,10,4,36.75,0.15,25,3,4.83245555555555,2.40615149593686,-0.516754444444445,1.12772638346206,-0.5313153035599,0.00531615315379334,0.02
"6",5,10,4.91666666666667,34,0.15,25,4,5.75135617283951,1.74181359588024,-0.424864382716049,1.11483286317188,-0.35995857087768,0.00525537251625633,0.24
"7",6,10,5.22,32.6,0.15,25,5,6.09442488888889,1.80215250981841,-0.390557511111111,1.11432123077375,-0.381672070092427,0.00525296065800173,0.36
"8",7,10,4.08,33.86,0.15,36,3,5.16894444444445,2.41925894777971,-0.483105555555555,1.20724366145508,-0.500986174893337,0.0056910011970624,0.18
"9",8,10,4.56,34.92,0.15,36,4,5.37148222222222,1.47294449923723,-0.462851777777778,1.09923731274473,-0.253714370559124,0.00518185438650051,0.18
"10",9,10,5.54,36.74,0.15,36,5,6.47306666666667,1.87264093756602,-0.352693333333333,1.15497881657442,-0.383235305068349,0.0054446223555106,0.48
"11",10,10,5.5,29.04,0.2,16,3,6.45400266666667,1.57756603220085,-0.354599733333333,1.18250296888558,-0.250425690748505,0.00557437245381478,0.5
"12",11,10,6.42,28.14,0.2,16,4,7.069192,2.09824134259778,-0.2930808,0.973956894184823,-0.535822274391472,0.00459127682974318,0.6
"13",12,10,7.14,29.04,0.2,16,5,8.00783822222222,1.53272310720391,-0.199216177777778,1.12794887797076,-0.264088293137019,0.0053172020029659,0.88
