"","sim","N_actual","N_mean","N_bias","n_captured","tau","nsites","ntraps","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"1",1,10,3.64586666666667,-0.635413333333333,2,0.15,16,3,44,2,8,0,1.62242043768683,0.00764816328949336,NA
"2",1,10,3.30091111111111,-0.669908888888889,2,0.15,16,3,45,2,7,0,1.44333291650766,0.00680393661848214,NA
"3",1,10,3.56308888888889,-0.643691111111111,3,0.15,16,3,43,3,6,0,0.949172640579925,0.00447444273780538,NA
"4",1,10,5.68086666666667,-0.431913333333333,5,0.15,16,3,50,5,9,0,1.05791246622547,0.00498704719179874,NA
"5",1,10,3.71782222222222,-0.628217777777778,3,0.15,16,3,29,3,7,0,1.10224136814051,0.00519601563944326,NA
"6",1,10,5.13308888888889,-0.486691111111111,4,0.15,16,3,41,4,9,0,1.34004748151115,0.00631704440858994,NA
"7",1,10,3.93464444444444,-0.606535555555556,3,0.15,16,3,38,3,7,0,1.22285898792057,0.00576461255195702,NA
"8",1,10,3.90877777777778,-0.609122222222222,3,0.15,16,3,32,3,7,0,1.19284865078593,0.00562314246599969,NA
"9",1,10,2.63113333333333,-0.736886666666667,2,0.15,16,3,43,2,5,0,0.985688183523405,0.00464657865803233,NA
"10",1,10,4.04333333333333,-0.595666666666667,3,0.15,16,3,56,3,7,0,1.28969559987137,0.00607968336223664,NA
"11",1,10,5.25806666666667,-0.474193333333333,4,0.15,16,3,50,4,9,0,1.35037357225312,0.00636572206716857,NA
"12",1,10,5.87408888888889,-0.412591111111111,5,0.15,16,3,49,5,9,0,1.17802070701694,0.00555324286873231,NA
"13",1,10,5.82617777777778,-0.417382222222222,5,0.15,16,3,42,5,9,0,1.16116522781083,0.00547378537775374,NA
"14",1,10,7.36642222222222,-0.263357777777778,5,0.15,16,3,44,4,12,1,2.01400165607594,0.00949409485554823,NA
"15",1,10,5.6234,-0.43766,5,0.15,16,3,45,5,8,0,1.01091577570599,0.00476550266806774,NA
"16",1,10,8.26317777777778,-0.173682222222222,5,0.15,16,3,41,5,14,1,2.25874737910443,0.0106478372583472,NA
"17",1,10,4.93331111111111,-0.506668888888889,4,0.15,16,3,44,4,8,0,1.19744450595414,0.00564480753503167,NA
"18",1,10,6.61066666666667,-0.338933333333333,6,0.15,16,3,37,6,9,0,0.985199930289422,0.00464427701021443,NA
"19",1,10,9.13475555555556,-0.0865244444444439,8,0.15,16,3,44,8,12,1,1.28090664967312,0.00603825185367201,NA
"20",1,10,4.99242222222222,-0.500757777777778,4,0.15,16,3,49,4,8,0,1.27389201337772,0.00600518454105847,NA
"21",1,10,5.25153333333333,-0.474846666666667,4,0.15,16,3,53,4,9,0,1.34340941843146,0.0063328927312184,NA
"22",1,10,3.93026666666667,-0.606973333333333,3,0.15,16,3,36,3,7,0,1.15662838158746,0.00545239847955543,NA
"23",1,10,5.17997777777778,-0.482002222222222,4,0.15,16,3,43,4,9,0,1.32468121748514,0.00624460714529462,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,10,5.48733333333333,-0.451266666666667,4,0.15,16,3,41,4,9,0,1.51433941024424,0.0071386644400116,NA
"26",1,10,4.37608888888889,-0.562391111111111,3,0.15,16,3,51,3,8,0,1.47832681016676,0.00696889941519195,NA
"27",1,10,4.94502222222222,-0.505497777777778,4,0.15,16,3,43,4,8,0,1.22035945756416,0.00575282965285838,NA
"28",1,10,6.65255555555556,-0.334744444444444,6,0.15,16,3,44,6,9,0,1.00436508258623,0.00473462240455808,NA
"29",1,10,8.52495555555556,-0.147504444444444,7,0.15,16,3,39,7,12,1,1.47251970917129,0.00694152447857239,NA
"30",1,10,4.07466666666667,-0.592533333333333,3,0.15,16,3,54,3,7,0,1.31747954445305,0.00621065813304878,NA
"31",1,10,5.40546666666667,-0.459453333333333,4,0.15,16,3,48,4,9,0,1.41325355502519,0.00666214114862874,NA
"32",1,10,7.08322222222222,-0.291677777777778,6,0.15,16,3,39,6,10,1,1.29901689513152,0.0061236243694893,NA
"33",1,10,8.05475555555556,-0.194524444444444,7,0.15,16,3,50,7,11,1,1.27043908705774,0.00598890729028651,NA
"34",1,10,3.89417777777778,-0.610582222222222,3,0.15,16,3,39,3,7,0,1.1858750250563,0.00559026847904719,NA
"35",1,10,3.57704444444444,-0.642295555555556,3,0.15,16,3,50,3,6,0,0.957169473958539,0.00451214017187229,NA
"36",1,10,7.60202222222222,-0.239797777777778,5,0.15,16,3,43,3,13,1,2.43746479045742,0.0114903192149059,NA
"37",1,10,6.2218,-0.37782,5,0.15,16,3,41,5,10,1,1.3624248839768,0.00642253249544863,NA
"38",1,10,6.35671111111111,-0.364328888888889,6,0.15,16,3,52,6,8,0,0.754816283638557,0.00355823808473901,NA
"39",1,10,4.91611111111111,-0.508388888888889,4,0.15,16,3,42,4,8,0,1.16407020124196,0.00548747955383588,NA
"40",1,10,2.88004444444444,-0.711995555555556,2,0.15,16,3,47,2,6,0,1.17014575684877,0.00551611999762955,NA
"41",1,10,5.0814,-0.49186,4,0.15,16,3,45,4,9,0,1.33142033166005,0.00627637563417644,NA
"42",1,10,2.60971111111111,-0.739028888888889,2,0.15,16,3,42,2,5,0,0.986659118672265,0.00465115569021801,NA
"43",1,10,3.98648888888889,-0.601351111111111,3,0.15,16,3,38,3,7,0,1.2638159366262,0.00595768545973342,NA
"44",1,10,3.05277777777778,-0.694722222222222,2,0.15,16,3,50,2,6,0,1.31366644250442,0.00619268299808056,NA
"45",1,10,3.87651111111111,-0.612348888888889,3,0.15,16,3,47,3,7,0,1.10401279268646,0.00520436621483529,NA
"46",1,10,4.34197777777778,-0.565802222222222,3,0.15,16,3,45,3,8,0,1.36251532448701,0.00642295883610235,NA
"47",1,10,3.71695555555556,-0.628304444444444,3,0.15,16,3,40,3,7,0,1.07634176132448,0.00507392372204539,NA
"48",1,10,4.13288888888889,-0.586711111111111,3,0.15,16,3,46,3,7,0,1.26951378365185,0.00598454536820009,NA
"49",1,10,2.87113333333333,-0.712886666666667,2,0.15,16,3,39,2,6,0,1.15288075256945,0.00543473198694206,NA
"50",1,10,2.85675555555556,-0.714324444444444,2,0.15,16,3,42,2,6,0,1.15491202293981,0.00544430748729743,NA
"51",1,10,2.4714,-0.75286,2,0.15,16,3,37,2,5,0,0.857566676651053,0.00404260808253047,NA
"52",1,10,3.44648888888889,-0.655351111111111,3,0.15,16,3,39,3,6,0,0.868893296351487,0.00409600227985113,NA
"53",1,10,2.855,-0.7145,2,0.15,16,3,38,2,6,0,1.13570501672735,0.00535376479170326,NA
"54",1,10,9.55555555555556,-0.0444444444444439,8,0.15,16,3,47,8,13,1,1.51213901238906,0.00712829166504691,NA
"55",1,10,3.22035555555556,-0.677964444444444,2,0.15,16,3,43,2,6,0,1.30156016098598,0.00613561343970296,NA
"56",1,10,3.01831111111111,-0.698168888888889,2,0.15,16,3,43,2,6,0,1.25431242735798,0.00591288548740924,NA
"57",1,10,8.04151111111111,-0.195848888888889,5,0.15,16,3,45,5,13,1,2.09236089524919,0.00986348385146841,NA
"58",1,10,4.24311111111111,-0.575688888888889,3,0.15,16,3,46,3,8,0,1.32782300994598,0.0062594176969889,NA
"59",1,10,4.93695555555556,-0.506304444444444,4,0.15,16,3,46,4,8,0,1.22789477142955,0.00578835146307559,NA
"60",1,10,5.83186666666667,-0.416813333333333,5,0.15,16,3,51,5,9,0,1.16006943241522,0.00546861974872023,NA
"61",1,10,3.72737777777778,-0.627262222222222,3,0.15,16,3,37,3,7,0,1.08097321460153,0.00509575660217175,NA
"62",1,10,4.87862222222222,-0.512137777777778,4,0.15,16,3,43,4,8,0,1.20276053967246,0.00566986755830659,NA
"63",1,10,7.38426666666667,-0.261573333333333,5,0.15,16,3,38,3,13,1,2.41268445165345,0.0113735035775167,NA
"64",1,10,4.83064444444444,-0.516935555555556,4,0.15,16,3,46,4,8,0,1.15669720670094,0.00545272292425182,NA
"65",1,10,2.91708888888889,-0.708291111111111,2,0.15,16,3,37,2,6,0,1.21288572088055,0.00571759812025978,NA
